uniprotkb_id,uniprotkbac_id,organism,tpsprotein_names,tpsgene_names,geneprimary_identifier,genesecondary_identifier,emblgenbankddbjcds_id,synonym,organism_id,ec_number,uniparc,keywords,crossreference_interpro,geneontology_molecularfunction,taxonomiclineage_id,TPS CLASSIFICATION
A0A1D6IZQ2,A0A1D6IZQ2_MAIZE,Zea mays (Maize),Copalyl diphosphate synthase3,103641248 ZEAMMB73_Zm00001d024512,,,AQK41331.1,"ZEAMMB73_Zm00001d024512, 103641248",4577,,UPI0008429BD6 ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
A0A096R869,A0A096R869_MAIZE,Zea mays (Maize),Anther ear1,542253 ZEAMMB73_Zm00001d032961,"Zm00001d032961_P005, GRMZM2G081554_P02,  GRMZM2G081554_P04","PAC:31016219, PAC:40205698, PAC:31016220, ",ONM06421.1,"ZEAMMB73_Zm00001d032961, 542253",4577,,UPI000221B883 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,
A0A3L6G998,TS23M_MAIZE,Zea mays (Maize),(E)-beta-caryophyllene synthase (EC 4.2.3.57) (Terpene synthase 23),TPS23 Zm00014a_002860,"ZmPHJ40.10G054500.1.p, ",PAC:41347303,PWZ45177.1,"Zm00014a_002860, TPS23",4577,4.2.3.57,UPI000FB76861 ,Cytoplasm;Lyase;Magnesium;Manganese;Metal-binding;Plant defense;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,(-)-E-beta-caryophyllene synthase activity [GO:0080016]; magnesium ion binding [GO:0000287],4577,SESQUITERPENE SYNTHASE
A0A1D6DZU9,A0A1D6DZU9_MAIZE,Zea mays (Maize),Kaurene synthase3,103645955 ZEAMMB73_Zm00001d002349,,,ONM14027.1,"ZEAMMB73_Zm00001d002349, 103645955",4577,,UPI000843A11F ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
A0A1D6PZ01,A0A1D6PZ01_MAIZE,Zea mays (Maize),Kaurene synthase6,ZEAMMB73_Zm00001d049957,"Zm00001d049957_P001, ",PAC:40274904,AQK51665.1,ZEAMMB73_Zm00001d049957,4577,,UPI0008423F1A ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
K7TR87,K7TR87_MAIZE,Zea mays (Maize),Ent-copalyl diphosphate synthase chloroplastic,ZEAMMB73_Zm00001d048874,"Zm00001d048874_P001, AC218998.2_FGP011","PAC:40270530, PAC:31048424",AQK49079.1,ZEAMMB73_Zm00001d048874,4577,,UPI000221C73C ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
A0A1D6LTV1,A0A1D6LTV1_MAIZE,Zea mays (Maize),Terpene synthase26,ZEAMMB73_Zm00001d037092,"Zm00001d037092_P003, ",PAC:40225359,AQK82825.1,ZEAMMB73_Zm00001d037092,4577,,UPI000843E437 ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,
Q6JD71,TPS4B_MAIZE,Zea mays (Maize),Inactive 7-epi-sesquithujene synthase (Terpene synthase 4) (tps4-Del1),TPS4,,,AAS88573.1,TPS4,4577,,UPI0000367C1D ,Cytoplasm;Magnesium;Manganese;Metal-binding;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,SESQUITERPENE SYNTHASE
Q29VN1,TPS3_MAIZE,Zea mays (Maize),"Probable terpene synthase 3, chloroplastic (EC 4.2.3.-)",TPS3 ZEAMMB73_Zm00001d015054,"Zm00001d015054_P001, GRMZM2G064406_P01","PAC:40282795, PAC:30992531",AAX99150.1,"ZEAMMB73_Zm00001d015054, TPS3",4577,4.2.3.-,UPI00006C66E6 ,Chloroplast;Lyase;Magnesium;Manganese;Metal-binding;Plastid;Reference proteome;Transit peptide,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],4577,MONOTERPENE SYNTHASE
A0A1D6IZQ1,A0A1D6IZQ1_MAIZE,Zea mays (Maize),Copalyl diphosphate synthase3,103641248 ZEAMMB73_Zm00001d024512,,,AQK41338.1,"ZEAMMB73_Zm00001d024512, 103641248",4577,,UPI0008459139 ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],4577,DITERPENE SYNTHASE
