uniprotkb_id	uniprotkbac_id	organism	tpsprotein_names	tpsgene_names	geneprimary_identifier	genesecondary_identifier	emblgenbankddbjcds_id	synonym	organism_id	ec_number	uniparc	keywords	crossreference_interpro	geneontology_molecularfunction	taxonomiclineage_id	TPS CLASSIFICATION
G1JUH1	TPS3_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	(-)-camphene/tricyclene synthase, chloroplastic (SlTPS3) (EC 4.2.3.105) (EC 4.2.3.117) ((4S)-limonene synthase) (EC 4.2.3.16) (Myrcene synthase) (EC 4.2.3.15)	TPS3			AEM05853.1	TPS3	4081	4.2.3.105; 4.2.3.117; 4.2.3.16; 4.2.3.15	UPI00021D5FE5 	Chloroplast;Lyase;Magnesium;Metal-binding;Plastid;Reference proteome;Transit peptide	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	(4S)-limonene synthase activity [GO:0050552]; camphene synthase activity [GO:0102703]; magnesium ion binding [GO:0000287]; myrcene synthase activity [GO:0050551]; tricyclene synthase activity [GO:0102701]	4081	MONOTERPENE SYNTHASE
G5CV47	G5CV47_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene synthase	TPS28 101261912			AEP82775.1	TPS28, 101261912	4081		UPI00022CC6CD 	Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	
G1JUH4	G1JUH4_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Beta myrcene/limonene synthase	TPS7 101247865			AEM05856.1	TPS7, 101247865	4081		UPI00021D600A 	Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	MONOTERPENE SYNTHASE
G5CV54	G5CV54_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	TPS14	TPS14 101249861			AEP82782.1	TPS14, 101249861	4081		UPI00022CC6D3 	Coiled coil;Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	
G5CV52	G5CV52_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Sesquiterpene synthase (TPS17)	TPS17 100820702			AEM23832.1	TPS17, 100820702	4081		UPI0001E245D6 	Coiled coil;Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	SESQUITERPENE SYNTHASE
G5CV40	G5CV40_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Terpene synthase	TPS38 101261095			AEP82768.1	TPS38, 101261095	4081		UPI00022CC6C6 	Coiled coil;Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	
G5CV38	G5CV38_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Copalyl diphosphate synthase	TPS40 544303			AEP82766.1	TPS40, 544303	4081		UPI00022CC6C4 	Reference proteome	IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;	ent-copalyl diphosphate synthase activity [GO:0009905]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	DITERPENE SYNTHASE
G5CV46	TPS31_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Viridiflorene synthase (SlTPS31) (EC 4.2.3.88)	TPS31			AEM23833.1	TPS31	4081	4.2.3.88	UPI00022CC6CC 	Cytoplasm;Lyase;Magnesium;Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	SESQUITERPENE SYNTHASE
G5CV45	TPS32_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Viridiflorene synthase (EC 4.2.3.88) (Terpene synthase 32) (SlTPS32) (EC 4.2.3.-)	TPS32 Solyc01g101180	Solyc01g101180.2.1	PAC:36139397	AEP82773.1	Solyc01g101180, TPS32	4081	4.2.3.88; 4.2.3.-	UPI00022CC6CB 	Cytoplasm;Lyase;Magnesium;Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	carbon-oxygen lyase activity, acting on phosphates [GO:0016838]; magnesium ion binding [GO:0000287]; sesquiterpene synthase activity [GO:0010334]	4081	SESQUITERPENE SYNTHASE
O64961	TPSGC_SOLLC	Solanum lycopersicum (Tomato) (Lycopersicon esculentum)	Germacrene C synthase (EC 4.2.3.60) (Sesquiterpene synthase 1)	SSTLE1			AAC39431.1	SSTLE1	4081	4.2.3.60	UPI00000ACBD8 	Cytoplasm;Lyase;Magnesium;Manganese;Metal-binding;Reference proteome	IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;	germacrene C synthase activity [GO:0102904]; magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333]	4081	SESQUITERPENE SYNTHASE
