uniprotkb_id,uniprotkbac_id,organism,tpsprotein_names,tpsgene_names,geneprimary_identifier,genesecondary_identifier,emblgenbankddbjcds_id,synonym,organism_id,ec_number,uniparc,keywords,crossreference_interpro,geneontology_molecularfunction,taxonomiclineage_id,TPS CLASSIFICATION
A0A2I0B0T8,A0A2I0B0T8_9ASPA,Apostasia shenzhenica,"Alpha-terpineol synthase, chloroplastic (EC 4.2.3.15)",AXF42_Ash014324,,,PKA61407.1,AXF42_Ash014324,1088818,4.2.3.15,UPI000CA4244A ,Coiled coil;Lyase;Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; myrcene synthase activity [GO:0050551],1088818,MONOTERPENE SYNTHASE
A0A2I0WXJ6,A0A2I0WXJ6_9ASPA,Dendrobium catenatum,Beta-cubebene synthase,MA16_Dca026367,,,PKU80370.1,MA16_Dca026367,906689,,UPI000CA59E8B ,Reference proteome,IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],906689,SESQUITERPENE SYNTHASE
A0A2I0A0Y7,A0A2I0A0Y7_9ASPA,Apostasia shenzhenica,"Myrcene synthase, chloroplastic (EC 4.2.3.-)",AXF42_Ash010892,,,PKA49207.1,AXF42_Ash010892,1088818,4.2.3.-,UPI000CA45607 ,Lyase;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],1088818,MONOTERPENE SYNTHASE
A0A2I0VW55,A0A2I0VW55_9ASPA,Dendrobium catenatum,(-)-alpha-terpineol synthase,MA16_Dca011214,,,PKU67636.1,MA16_Dca011214,906689,,UPI000CA525B2 ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],906689,MONOTERPENE SYNTHASE
A0A2I0WUN5,A0A2I0WUN5_9ASPA,Dendrobium catenatum,"Alpha-terpineol synthase, chloroplastic",MA16_Dca000723,,,PKU79378.1,MA16_Dca000723,906689,,UPI000CA5330C ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],906689,MONOTERPENE SYNTHASE
A0A2I0VJ43,A0A2I0VJ43_9ASPA,Dendrobium catenatum,Alpha-copaene synthase,TPS1 MA16_Dca024936,,,PKU63442.1,"MA16_Dca024936, TPS1",906689,,UPI000CA42502 ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],906689,SESQUITERPENE SYNTHASE
A0A2I0XFT5,A0A2I0XFT5_9ASPA,Dendrobium catenatum,"Alpha-terpineol synthase, chloroplastic",MA16_Dca020940,,,PKU86778.1,MA16_Dca020940,906689,,UPI0009F41DAA ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],906689,MONOTERPENE SYNTHASE
A0A2I0VWF9,A0A2I0VWF9_9ASPA,Dendrobium catenatum,"Alpha-terpineol synthase, chloroplastic",MA16_Dca013782,,,PKU67752.1,MA16_Dca013782,906689,,UPI000CA3F7DD ,Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],906689,MONOTERPENE SYNTHASE
A0A2I0AS40,A0A2I0AS40_9ASPA,Apostasia shenzhenica,"Alpha-terpineol synthase, chloroplastic (EC 4.2.3.27)",AXF42_Ash013010,,,PKA58286.1,AXF42_Ash013010,1088818,4.2.3.27,UPI000CA5B3C0 ,Lyase;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,isoprene synthase activity [GO:0034009]; magnesium ion binding [GO:0000287],1088818,MONOTERPENE SYNTHASE
A0A2I0B0V7,A0A2I0B0V7_9ASPA,Apostasia shenzhenica,"Tricyclene synthase, chloroplastic (EC 4.2.3.-)",TPS03 AXF42_Ash014321,,,PKA61404.1,"AXF42_Ash014321, TPS03",1088818,4.2.3.-,UPI000CA41DB7 ,Coiled coil;Lyase;Reference proteome,IPR008949;IPR001906;IPR036965;IPR008930;,terpene synthase activity [GO:0010333],1088818,MONOTERPENE SYNTHASE
A0A2I0X092,A0A2I0X092_9ASPA,Dendrobium catenatum,S-linalool synthase,LIS MA16_Dca022838,,,PKU81332.1,"MA16_Dca022838, LIS",906689,,UPI000CA4596F ,Reference proteome,IPR008949;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],906689,MONOTERPENE SYNTHASE
A0A2I0WXI2,A0A2I0WXI2_9ASPA,Dendrobium catenatum,(-)-germacrene D synthase,MA16_Dca026369,,,PKU80372.1,MA16_Dca026369,906689,,UPI000CA51829 ,Coiled coil;Metal-binding;Reference proteome,IPR008949;IPR034741;IPR001906;IPR036965;IPR005630;IPR008930;,magnesium ion binding [GO:0000287]; terpene synthase activity [GO:0010333],906689,SESQUITERPENE SYNTHASE
